campaign_id,campaign_name,start_date,end_date,marketing_channel,target_cartype,target_audience,discount_percent,expected_sales,actual_sales
CAMP001,Festive Offer,2024-06-30,2024-07-07,TV,SUV,First-Time Buyers,24.39,86,298
CAMP002,SUV Fest,2024-01-16,2024-09-22,TV,Sedan,First-Time Buyers,25.43,474,26
CAMP003,Festive Offer,2023-04-22,2024-07-22,Billboards,Sedan,SUV Enthusiasts,24.28,276,146
CAMP004,Summer Sale,2023-07-11,2024-04-27,TV,Hatchback,Luxury Car Owners,18.03,156,262
CAMP005,Luxury Car Bonanza,2023-05-09,2024-01-27,Billboards,Coupe,First-Time Buyers,8.97,422,41
CAMP006,Festive Offer,2023-09-04,2024-03-10,SMS,Hatchback,First-Time Buyers,9.97,76,361
CAMP007,Exclusive Membership Deal,2024-10-10,2024-12-15,Social Media,Sedan,SUV Enthusiasts,13.11,135,161
CAMP008,Festive Offer,2024-10-03,2025-03-03,Email,Sedan,Luxury Car Owners,29.22,347,373
CAMP009,SUV Fest,2023-10-04,2023-11-17,Billboards,Convertible,Budget Buyers,14.28,95,147
CAMP010,Year-End Clearance,2023-04-17,2024-05-07,Email,SUV,City Commuters,13.46,438,340
CAMP011,Summer Sale,2025-04-02,2025-04-02,Social Media,Coupe,Budget Buyers,22.53,455,74
CAMP012,Year-End Clearance,2024-07-21,2025-02-05,Email,Sedan,First-Time Buyers,29.54,453,350
CAMP013,Electric Revolution Discount,2024-07-22,2025-01-30,Email,MPV,Budget Buyers,5.53,243,203
CAMP014,Year-End Clearance,2025-02-25,2025-03-04,SMS,SUV,SUV Enthusiasts,22.67,336,170
CAMP015,SUV Fest,2023-04-17,2023-08-04,TV,Convertible,Budget Buyers,18.59,215,394
CAMP016,SUV Fest,2023-07-04,2024-09-03,SMS,Convertible,City Commuters,9.01,321,99
CAMP017,SUV Fest,2024-05-19,2024-07-27,SMS,Coupe,City Commuters,14.18,50,346
CAMP018,Luxury Car Bonanza,2024-08-26,2025-02-10,Billboards,Sedan,Luxury Car Owners,20.49,236,337
CAMP019,Exclusive Membership Deal,2023-08-03,2024-08-06,SMS,MPV,Luxury Car Owners,21.46,325,218
CAMP020,Exclusive Membership Deal,2024-09-30,2024-10-21,Newspaper,MPV,SUV Enthusiasts,24.14,128,333
CAMP021,Mega Exchange Offer,2024-11-21,2025-03-29,SMS,Hatchback,First-Time Buyers,7.76,317,357
CAMP022,Festive Offer,2023-06-21,2023-07-07,Social Media,Sedan,Budget Buyers,26.84,153,74
CAMP023,SUV Fest,2023-11-17,2024-10-22,TV,SUV,Luxury Car Owners,19.28,478,218
CAMP024,SUV Fest,2025-03-03,2025-03-15,Newspaper,Convertible,City Commuters,11.4,237,133
CAMP025,Festive Offer,2024-09-06,2024-09-21,Social Media,Sedan,SUV Enthusiasts,28.21,476,60
