campaign_id,name,start_date,end_date,target_segment,budget,channel
EC001,Save Energy Drive,2024-08-21,2024-10-07,Industrial,29239,Social Media
EC002,Efficient Energy Campaign,2023-10-31,2023-11-21,Commercial,5672,TV
EC003,Save Energy Campaign,2024-06-24,2024-07-22,Residential,16664,Email
EC004,Green Energy Drive,2024-05-25,2024-06-18,Residential,20221,"TV, Newspaper"
EC005,Save Usage Week,2024-01-27,2024-03-21,Industrial,39513,"Events, Newspaper, TV"
EC006,Green Power Campaign,2023-09-18,2023-10-31,Commercial,49278,"Email, Social Media, TV"
EC007,Green Energy Campaign,2023-07-28,2023-08-12,Industrial,25621,"Newspaper, Social Media"
EC008,Green Usage Campaign,2025-02-07,2025-02-15,Commercial,49759,Newspaper
EC009,Green Energy Week,2024-10-05,2024-11-02,Industrial,7157,"TV, Social Media"
EC010,Save Energy Campaign,2024-06-27,2024-07-11,Commercial,30819,Email
EC011,Efficient Usage Drive,2023-12-29,2024-01-25,Residential,33566,"Email, Newspaper"
EC012,Efficient Energy Campaign,2023-06-19,2023-08-02,Residential,11341,TV
EC013,Green Energy Drive,2024-06-26,2024-07-04,Residential,48185,"Events, TV"
EC014,Efficient Power Campaign,2023-08-01,2023-09-19,Commercial,20537,"Social Media, TV, Events"
EC015,Efficient Energy Drive,2025-02-17,2025-03-19,Industrial,38661,Email
EC016,Save Power Drive,2023-06-30,2023-08-09,Commercial,34069,"Newspaper, Events"
EC017,Save Power Week,2025-02-19,2025-03-15,Residential,20413,"Newspaper, Events, Email"
EC018,Efficient Power Drive,2025-01-31,2025-03-13,Residential,14787,Newspaper
EC019,Green Usage Campaign,2023-08-23,2023-10-10,Industrial,11194,TV
EC020,Efficient Usage Week,2024-06-29,2024-07-27,Commercial,40804,"TV, Events"
EC021,Efficient Usage Week,2024-11-05,2025-01-04,Industrial,27530,"Email, Social Media, Newspaper"
EC022,Save Usage Drive,2025-03-12,2025-04-24,Industrial,28745,Newspaper
EC023,Save Energy Drive,2023-12-12,2023-12-23,Commercial,44665,Events
EC024,Save Usage Week,2024-04-15,2024-05-05,Commercial,38484,"TV, Email"
EC025,Efficient Power Drive,2024-07-23,2024-08-28,Commercial,29413,"Email, TV, Events"
EC026,Save Power Campaign,2024-01-05,2024-02-13,Industrial,41656,"Social Media, TV, Email"
EC027,Save Energy Drive,2023-07-18,2023-08-04,Industrial,49125,TV
EC028,Efficient Energy Drive,2023-12-03,2024-01-24,Residential,30412,"Newspaper, Email"
EC029,Save Energy Week,2023-06-17,2023-07-19,Residential,24469,"Newspaper, Events, TV"
EC030,Save Energy Drive,2025-01-13,2025-02-17,Industrial,37950,"Social Media, Events"
EC031,Efficient Power Campaign,2023-06-26,2023-08-24,Industrial,30958,"Events, Newspaper"
EC032,Efficient Power Week,2024-05-15,2024-07-12,Industrial,5187,Newspaper
EC033,Efficient Energy Drive,2024-06-09,2024-07-05,Commercial,33105,"Events, Social Media, Newspaper"
EC034,Efficient Power Drive,2024-04-20,2024-05-19,Commercial,40976,Events
